"V1","V2","V3","V4","V5"
NA,"Scenario","N = 25","N = mixed","N = 1750"
"µ = 0","Current","0.299 (0.076)","0.042 (0.074)","0.008 (0.033)"
NA,NA,"[10805.2 (2237.51)]","[6548.39 (2571.41)]","[3500 (0)]"
NA,NA,"%H1: 99.4","%H1: 28.2","%H1: 8"
NA,"Maxwell","0.285 (0.043)","0.026 (0.04)","0 (0.034)"
NA,NA,"[35874.9 (4018.42)]","[7429.22 (3514.21)]","[3500 (0)]"
NA,NA,"%H1: 100","%H1: 28.7","%H1: 9.7"
NA,"Ideal","0 (0.06)","0 (0.055)","0 (0.034)"
NA,NA,"[1100 (0)]","[1885.91 (1300.86)]","[3500 (0)]"
NA,NA,"%H1: 5","%H1: 5.6","%H1: 5.4"
"µ = 0.2","Current","0.525 (0.052)","0.313 (0.135)","0.206 (0.033)"
NA,NA,"[4868.33 (937.138)]","[5174.77 (1324.43)]","[3500 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Maxwell","0.52 (0.03)","0.254 (0.056)","0.2 (0.034)"
NA,NA,"[16211.4 (1717.05)]","[7085.72 (3195.23)]","[3500 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Ideal","0.2 (0.06)","0.2 (0.054)","0.2 (0.034)"
NA,NA,"[1100 (0)]","[1877.34 (1297.35)]","[3500 (0)]"
NA,NA,"%H1: 95.6","%H1: 96.5","%H1: 100"
"µ = 0.5","Current","0.687 (0.042)","0.622 (0.089)","0.502 (0.033)"
NA,NA,"[1839.42 (263.802)]","[2812.49 (1301.02)]","[3500 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Maxwell","0.686 (0.023)","0.571 (0.066)","0.5 (0.034)"
NA,NA,"[6123.45 (477.382)]","[5778.93 (1512.94)]","[3500 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Ideal","0.501 (0.061)","0.501 (0.053)","0.5 (0.034)"
NA,NA,"[1100 (0)]","[1875.43 (1293.08)]","[3500 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
